INDEX,LANGUAGE,TEXT
426,en,shiting
427,en,shitings
428,en,shits
429,en,shitted
430,en,shitter
431,en,shitters
432,en,shitting
433,en,shittings
434,en,shitty
435,en,skank
436,en,slut
437,en,sluts
438,en,smegma
439,en,smut
440,en,snatch
441,en,son-of-a-bitch
442,en,spac
443,en,spunk
444,en,s_h_i_t
445,en,t1tt1e5
446,en,t1tties
447,en,teets
448,en,teez
449,en,testical
450,en,testicle
451,en,tit
452,en,titfuck
453,en,tits
454,en,titt
455,en,tittie5
456,en,tittiefucker
457,en,titties
458,en,tittyfuck
459,en,tittywank
460,en,titwank
461,en,tosser
462,en,turd
463,en,tw4t
464,en,twat
465,en,twathead
466,en,twatty
467,en,twunt
468,en,twunter
469,en,v14gra
470,en,v1gra
471,en,vagina
472,en,viagra
473,en,vulva
474,en,w00se
475,en,wang
476,en,wank
477,en,wanker
478,en,wanky
479,en,whoar
480,en,whore
481,en,willies
482,en,willy
483,en,xrated
484,en,xxx
485,ko,김대중
486,ko,김영삼
487,ko,노무현
488,ko,노태우
489,ko,문슬람
490,ko,문재앙
491,ko,문재인
492,ko,박근혜
493,ko,박정희
494,ko,윤보선
495,ko,이명박
496,ko,이승만
497,ko,전두환
498,ko,최규하
499,ko,단원고
500,ko,세월호
501,ko,관리자
502,ko,운영자
503,ko,운영진
504,ko,강간
505,ko,개새끼
506,ko,뇬
507,ko,느금마
508,ko,메갈
509,ko,병신
510,ko,씨발
511,ko,씨팔
512,ko,양아치
513,ko,엄창
514,ko,일베
515,ko,좆
516,ko,창녀
517,ko,창년
518,ko,근친
519,ko,꼬추
520,ko,보지
521,ko,섹스
522,ko,자지
523,ko,잠지
524,ko,크리토리스
525,ko,클리토리스
526,ko,팰라치오
